"II"	"CAL"	"DEC"	"DOR"	"I"	"V"	"PC"	"PN"	"PO"	"PX"	"DA"	"DG"	"DH"	"DI"	"DCH"	"CAR"	"DAR"	"DEP"	"GAN"	"KAM"	"LEF"	"NGO"	"VAR"	"ZEAU"	"ZEMB"	"omega1"	"omega.9"	"omega3"	"omega8"	"omega6"	"Temoin.A"	"Temoin.B"	"Temoin.D"	"Temoin.F"	"Temoin.H"
"1000"	0.6	0.24	0.17	1.16	-0.3	-0.14	0.21	-0.005	-0.4	-0.1	-0.4	-0.07	-0.1	-0.53	0.25	-0.34	0.1	0.18	0.66	-0.09	-0.08	-0.12	0.08	1	-0.19	0.2	-0.17	0.14	0.01	0.18	0.05	0.29	-0.05	-0.12	0.14
"10000"	0.76	-0.31	-0.28	-0.58	0.56	0.66	0.43	0.36	0.33	0.27	-0.04	-0.03	-0.2	0.18	0.18	0.14	0.39	-0.05	-0.22	0.32	0.27	-0.35	-0.72	-0.36	-0.39	-0.39	0.37	-0.41	-0.31	0	0.17	-1.05	0.28	0.57	0.25
"10001"	-0.36	-0.42	-0.3	-0.86	0.32	-0.62	-0.11	-0.19	-0.32	-0.3	-0.6	-0.33	-0.67	-0.16	-0.51	-0.65	-0.59	-0.54	-0.45	-0.37	-0.14	-0.32	-0.47	-0.36	-0.87	-0.29	-0.44	-0.43	-0.13	-0.38	-0.58	-0.23	-0.04	-0.61	-0.04
"10003"	0.21	-0.09	0.37	-0.005	0.5	0.1	0.44	-0.21	0.51	0.19	0.03	-0.06	-0.05	-0.11	-0.17	0.32	0.25	0.15	0.29	0.15	0.34	0.32	0.38	0.24	0.15	1.37	0.38	0.74	0.56	0.39	0.52	-0.39	0.15	0.27	0.22
"10006"	1.06	0.49	-0.19	1.48	1.14	0.8	-0.18	0.49	0.51	0.66	0.66	0.62	0.67	0.6	0.68	-0.26	0.13	-0.13	0.56	0.46	-0.46	0.31	0.17	0.42	-0.1	-0.06	0.68	-0.3	0.37	-0.78	0.6	-0.78	0.43	0.82	0.93
"10007"	0.57	-0.69	-0.31	-0.87	0.44	0.34	0.82	-0.27	0.24	-0.07	-0.58	-0.79	-0.6	-0.01	-0.63	-0.67	-0.23	-0.15	-0.19	-0.02	0	-1	-0.33	-0.22	-1.03	-0.8	-0.27	-0.85	-0.58	-0.32	-0.04	-1.15	-0.05	-0.12	-0.07
"10009"	1.28	0.24	0.56	0.09	1.85	0.98	0.88	0.53	0.7	0.72	-0.52	-0.62	-0.11	-0.61	-0.03	0.33	0.31	0.33	0.31	0.36	0.35	0.33	0.32	0.28	0.25	0.55	0.9	0.25	0.37	0.48	0.46	-0.14	0.47	0.88	0.33
"10010"	1.06	0.46	0.69	0.04	0.18	0.26	0.02	-0.48	-0.1	0.22	-0.46	-0.47	-0.1	-0.28	-0.05	0.39	-0.12	0.26	0.36	0.23	0.5	0.15	0.33	0.3	0.56	-0.03	0.48	-0.7	0.08	0.25	0.39	-0.49	0.32	0.54	0.27
"10011"	0.78	-0.42	0.05	0.43	0.1	0.66	0.09	-0.04	0.4	0.24	0.24	0.42	1.01	1.67	0.17	0.23	0.17	0.14	0.36	0.02	0.05	-0.03	0.17	0.18	0.53	0.31	0.27	-0.15	1.06	0.54	0.25	-0.68	0.2	0.5	0.17
"10013"	0.17	-0.29	0.13	-0.68	0.3	-0.01	0.03	0.5	-0.06	0.49	-0.47	0.13	-0.15	0.09	0.03	0.28	0.01	0.06	0.1	0.53	0.29	0.34	0.02	0.05	-0.21	0.31	0.1	0.28	0.61	0.12	0.43	-0.43	0.58	0.48	0.34
